s	r	d	f	mean	sd
0.01	0.0001	2	1.05	0.0255603740639874	0.00609248719515988
0.01	0.0001	2	1.1	0.0133199089497088	0.00268148124185872
0.01	0.0001	2	1.15	0.0117477064025389	0.00384379080906046
0.01	0.0001	2	1.2	0.00804573763815538	0.0006800577429675
0.01	0.0001	2	1.25	0.00721497219407925	0.000715377076312605
0.01	0.0001	2	1.3	0.00688473061692552	0.000712879780351168
0.01	0.0001	2	1.35	0.00755376278859554	0.00119635084808345
0.01	0.0001	2	1.4	0.00897005626874649	0.00409697139474412
0.01	0.0001	2	1.45	0.00613191140346899	0.00204190465551343
0.01	0.0001	2	1.5	0.00630523684250131	0.00116114686559585
0.01	0.0001	3	0.1	0.172849593567048	0.151752511001624
0.01	0.0001	3	0.15	0.110620805399103	0.016915177224738
0.01	0.0001	3	0.2	0.339272866777078	0.182458597404798
0.01	0.0001	3	0.25	0.285996792322903	0.17357653128176
0.01	0.0001	3	0.3	0.135179705349433	0.0304961768735559
0.01	0.0001	3	0.35	0.177379684633001	0.0295750720643276
0.01	0.0001	3	0.4	0.186172845304224	0.0141496243694208
0.01	0.0001	3	0.45	0.167556750435077	0.0257494354025877
0.01	0.0001	3	0.5	0.178149356720731	0.0115443195735756
0.01	0.0001	3	0.55	0.190271072972547	0.00831744908242886
0.01	0.0001	3	0.6	0.174937960356579	0.00680559508257089
0.01	0.0001	3	0.65	0.171169491799253	0.0146267991229836
0.01	0.0001	3	0.7	0.0217916512541069	0.00586866291906136
0.01	0.0001	3	0.75	0.0129258080965863	0.00178173563345387
0.01	0.0001	3	0.8	0.00842633508076478	0.00186826862411146
0.01	0.0001	3	0.85	0.0081497450982304	0.0038308258424487
0.01	0.0001	3	0.9	0.0048890028629109	0.00120203736048112
0.01	0.0001	3	0.95	0.00654718350726596	0.000951459203170912
0.01	0.0001	3	1	0.00550276841444597	0.00104840884588353
0.01	0.0001	3	1.05	0.00612990322350844	0.0028318428115258
0.01	0.0001	3	1.1	0.00608241082519813	0.00074248093016266
0.01	0.0001	3	1.15	0.00584473820729273	0.00134404830487909
0.01	0.0001	3	1.2	0.00620889475551899	0.00340798861431574
0.01	0.0001	3	1.25	0.00473647882245889	0.00124530870135142
0.01	0.0001	3	1.3	0.00620053824005616	0.00356921490865444
0.01	0.0001	3	1.35	0.0055184982351811	0.00200776204503569
0.01	0.0001	3	1.4	0.00633407153247181	0.000960212157497789
0.01	0.0001	3	1.45	0.00798110775830846	0.00312537304124643
0.01	0.0001	3	1.5	0.00537102102329617	0.00177411189347847
0.01	0.0001	4	0.1	0.262041797124281	0.178475408661007
0.01	0.0001	4	0.15	0.126286988817931	0.0149035253859755
0.01	0.0001	4	0.2	0.280868592844747	0.170999651527029
0.01	0.0001	4	0.25	0.292960936727737	0.173309762824108
0.01	0.0001	4	0.3	0.180132523088126	0.0348326016987176
0.01	0.0001	4	0.35	0.175391120121664	0.0103416192294965
0.01	0.0001	4	0.4	0.185246966674003	0.0128423188034273
0.01	0.0001	4	0.45	0.17962224222428	0.017130796435946
0.01	0.0001	4	0.5	0.142060328823103	0.0168030541936508
0.01	0.0001	4	0.55	0.0119716092137877	0.00107280708230615
