s	r	d	f	mean	sd
0.01	0.0001	7	0.6	4322.42798028558	914.040145445711
0.01	0.0001	7	0.65	6501.03399462273	788.119065450806
0.01	0.0001	7	0.7	10616.3018046666	2056.93253341098
0.01	0.0001	7	0.75	6114.60739184896	300.015597177343
0.01	0.0001	7	0.8	9838.88782202133	142.645218412566
0.01	0.0001	7	0.85	16683.994770642	482.347585397911
0.01	0.0001	7	0.9	17387.2746550338	3385.81803645028
0.01	0.0001	7	0.95	9798.56229867037	5625.02645366245
0.01	0.0001	7	1	10220.7980728	34.2045140085834
0.01	0.0001	7	1.05	16188.2189121911	148.028176381264
0.01	0.0001	7	1.1	24720.211965615	807.819616329629
0.01	0.0001	7	1.15	29556.5186417594	9769.67968978234
0.01	0.0001	7	1.2	39957.443760007	11827.4391825496
0.01	0.0001	7	1.25	15099.1090071992	5728.34187084174
0.01	0.0001	7	1.3	10708.8575667012	1925.70214890931
0.01	0.0001	7	1.35	12345.661157002	619.894277266664
0.01	0.0001	7	1.4	17365.6986207781	211.313289787071
0.01	0.0001	7	1.45	26715.269412416	3106.27820129351
0.01	0.0001	7	1.5	35050.8017874894	833.991475833929
0.01	0.0001	8	0.1	1.17290237457394	0.0342930059502066
0.01	0.0001	8	0.15	1.5288555691279	0.157668501901199
0.01	0.0001	8	0.2	27.3714874812475	11.9264282171313
0.01	0.0001	8	0.25	95.9779142825144	0.847182204342383
0.01	0.0001	8	0.3	248.430081912436	1.51797171903517
0.01	0.0001	8	0.35	528.652499074665	51.2601016305017
0.01	0.0001	8	0.4	959.158843997121	301.674047191259
0.01	0.0001	8	0.45	1598.82177730615	321.40274329274
0.01	0.0001	8	0.5	4416.78038453586	1886.38132085893
0.01	0.0001	8	0.55	5099.52478943034	991.548914868131
0.01	0.0001	8	0.6	7324.2485435641	2132.36920964646
0.01	0.0001	8	0.65	7436.93606008264	451.243374572745
0.01	0.0001	8	0.7	10302.0944004703	2368.96109674215
0.01	0.0001	8	0.75	7531.21868346606	1506.2089778911
0.01	0.0001	8	0.8	9985.72409912313	126.031142414123
0.01	0.0001	8	0.85	15217.4095281848	1524.78190753506
0.01	0.0001	8	0.9	25159.7850105442	4013.37241931999
0.01	0.0001	8	0.95	8153.2949637797	1254.43383126178
0.01	0.0001	8	1	10675.6849396	490.206414762723
0.01	0.0001	8	1.05	16417.2720062235	647.083266816884
0.01	0.0001	8	1.1	24907.2072107122	884.133712786611
0.01	0.0001	8	1.15	39452.7095825073	5036.33844939298
0.01	0.0001	8	1.2	37048.0547045117	10218.1124993914
0.01	0.0001	8	1.25	26122.5112035831	16798.2721892305
0.01	0.0001	8	1.3	16651.4537939155	9645.69290220898
0.01	0.0001	8	1.35	13639.4844319441	1197.69574024332
0.01	0.0001	8	1.4	18149.9490030959	770.807853145669
0.01	0.0001	8	1.45	26153.9792839717	621.924976180534
0.01	0.0001	8	1.5	37401.4015580332	860.895717449592
0.01	0.0001	9	0.1	1.24711833754008	0.0568934469088766
0.01	0.0001	9	0.15	7.44616143481965	5.30001079933868
0.01	0.0001	9	0.2	30.0884331150578	23.111983841142
0.01	0.0001	9	0.25	177.275265150392	0.16431742329719
0.01	0.0001	9	0.3	410.213983573618	76.8555271155782
0.01	0.0001	9	0.35	676.362594916124	76.1153484551576
0.01	0.0001	9	0.4	1841.42441494422	935.351951559412
0.01	0.0001	9	0.45	2729.68201710568	635.849429867964
0.01	0.0001	9	0.5	6850.24732241494	1824.9103446446
0.01	0.0001	9	0.55	5261.79034171266	1112.60698127409
0.01	0.0001	9	0.6	6792.24257355962	1209.64695063037
0.01	0.0001	9	0.65	7783.78389608906	226.495453335623
0.01	0.0001	9	0.7	13226.2807865414	1854.78859284305
0.01	0.0001	9	0.75	6847.69639444908	934.652760562236
0.01	0.0001	9	0.8	10072.8633281371	120.298586268993
0.01	0.0001	9	0.85	15536.4054465859	1033.73671764665
0.01	0.0001	9	0.9	15431.1390834998	5987.53939514782
0.01	0.0001	9	0.95	12313.207490969	6247.39217478486
0.01	0.0001	9	1	10578.33300025	163.306443737994
0.01	0.0001	9	1.05	16675.0904377493	670.956697677146
0.01	0.0001	9	1.1	25581.2994213275	981.320388382508
0.01	0.0001	9	1.15	39326.7600700778	3919.34031725059
0.01	0.0001	9	1.2	65026.60007118	23703.6615516141
0.01	0.0001	9	1.25	46993.774872255	30658.0756399848
0.01	0.0001	9	1.3	11751.4204120865	2582.6925006612
0.01	0.0001	9	1.35	13109.7307954235	872.769343422578
0.01	0.0001	9	1.4	19076.8033964986	763.636979096941
0.01	0.0001	9	1.45	27258.9291940829	818.255597783381
0.01	0.0001	9	1.5	41943.4355749669	7359.14096134951
0.01	0.0001	10	0.1	1.40715022597742	0.142318516852418
0.01	0.0001	10	0.15	5.99499613938441	8.56346186503813
