s	r	d	f	mean	sd
0.01	0.0001	7	0.1	5000001	0
0.01	0.0001	7	0.15	5000001	0
0.01	0.0001	7	0.2	4703394.8	590687.645777157
0.01	0.0001	7	0.25	4174292.2	848319.283638277
0.01	0.0001	7	0.3	3188490.6	843576.350288129
0.01	0.0001	7	0.35	2853786.4	1507452.21187189
0.01	0.0001	7	0.4	2836674.8	950873.952519765
0.01	0.0001	7	0.45	2491780.8	812326.033578489
0.01	0.0001	7	0.5	1473722.2	120694.514162658
0.01	0.0001	7	0.55	1711728.4	348503.912037498
0.01	0.0001	7	0.6	1564414.4	509105.456853332
0.01	0.0001	7	0.65	1417768.6	545892.514621917
0.01	0.0001	7	0.7	1474910.6	570777.236654581
0.01	0.0001	7	0.75	1053884.4	555080.704050357
0.01	0.0001	7	0.8	1310838.4	198203.379668057
0.01	0.0001	7	0.85	979232.6	338233.536665186
0.01	0.0001	7	0.9	1685272.6	445043.043107787
0.01	0.0001	7	0.95	869228.4	459175.410642861
0.01	0.0001	7	1	1629479.4	618730.806248598
0.01	0.0001	7	1.05	1131396.4	232316.706091146
0.01	0.0001	7	1.1	1143183.6	488798.715889721
0.01	0.0001	7	1.15	996585	421242.733832644
0.01	0.0001	7	1.2	995364.6	235893.653512425
0.01	0.0001	7	1.25	510524.6	323748.362857081
0.01	0.0001	7	1.3	503421.6	467314.148365572
0.01	0.0001	7	1.35	1171853.8	610223.806866432
0.01	0.0001	7	1.4	1229808.8	486669.663814954
0.01	0.0001	7	1.45	868327.8	238206.408998079
0.01	0.0001	7	1.5	1093334.8	629903.928028203
0.01	0.0001	8	0.1	5000001	0
0.01	0.0001	8	0.15	5000001	0
0.01	0.0001	8	0.2	4717822	343703.645721718
0.01	0.0001	8	0.25	3529257.6	479108.599381226
0.01	0.0001	8	0.3	3009900.6	370889.201356739
0.01	0.0001	8	0.35	2251424.6	420643.913321755
0.01	0.0001	8	0.4	1807513.2	585386.465019273
0.01	0.0001	8	0.45	2195075.2	736133.017447635
0.01	0.0001	8	0.5	1861239.8	409179.295444625
0.01	0.0001	8	0.55	1311939	355604.986821614
0.01	0.0001	8	0.6	1819656	788823.691046865
0.01	0.0001	8	0.65	1285775.6	384162.398922956
0.01	0.0001	8	0.7	1294931.2	470696.399835563
0.01	0.0001	8	0.75	1367472.8	457248.327543098
0.01	0.0001	8	0.8	1138633.2	323139.983790555
0.01	0.0001	8	0.85	1170766.8	638835.500945713
0.01	0.0001	8	0.9	966245.6	482285.848309734
0.01	0.0001	8	0.95	1147641.8	1093361.66996697
0.01	0.0001	8	1	696460.8	418173.522506818
0.01	0.0001	8	1.05	1267111.6	613785.751870667
0.01	0.0001	8	1.1	755654.6	607047.191310395
0.01	0.0001	8	1.15	946945.8	640014.022235576
0.01	0.0001	8	1.2	965013.4	390913.022433687
0.01	0.0001	8	1.25	961307.6	552838.678165557
0.01	0.0001	8	1.3	951324.6	543790.614182555
0.01	0.0001	8	1.35	978534.8	475767.721289875
0.01	0.0001	8	1.4	488839.8	457803.557800679
0.01	0.0001	8	1.45	754586.2	686743.497142099
0.01	0.0001	8	1.5	647959.6	467645.764211588
0.01	0.0001	9	0.1	5000001	0
0.01	0.0001	9	0.15	4910422.4	179157.2
0.01	0.0001	9	0.2	3811846.2	1124447.99012091
0.01	0.0001	9	0.25	3385711	364446.471551036
0.01	0.0001	9	0.3	2737623.4	546561.843325566
0.01	0.0001	9	0.35	2174371.4	756386.668426831
0.01	0.0001	9	0.4	2013001	550498.035418111
0.01	0.0001	9	0.45	2071051.6	343144.192942034
0.01	0.0001	9	0.5	1925345.2	459472.135762507
0.01	0.0001	9	0.55	1247457.6	411882.527210174
0.01	0.0001	9	0.6	1557979.6	477260.273620841
0.01	0.0001	9	0.65	2001758.8	282665.074560972
0.01	0.0001	9	0.7	1077922.2	405591.468997759
0.01	0.0001	9	0.75	1490525.4	623681.288135727
0.01	0.0001	9	0.8	1208546	549970.631662819
0.01	0.0001	9	0.85	994705.8	402019.082251776
0.01	0.0001	9	0.9	668292.6	490657.514123895
0.01	0.0001	9	0.95	734110	410832.134868732
0.01	0.0001	9	1	870666.5	756397.180509519
0.01	0.0001	9	1.05	818549	390261.393136446
0.01	0.0001	9	1.1	698700.2	546108.364277054
0.01	0.0001	9	1.15	852459	698692.420328717
0.01	0.0001	9	1.2	731722.2	179621.019012141
0.01	0.0001	9	1.25	597328.6	403824.657424779
0.01	0.0001	9	1.3	969361.2	541954.513788528
0.01	0.0001	9	1.35	1177032.8	265320.051511679
0.01	0.0001	9	1.4	591421.4	535133.794227425
0.01	0.0001	9	1.45	680261.8	247919.462818392
0.01	0.0001	9	1.5	856075.4	484535.74273591
0.01	0.0001	10	0.1	5000001	0
0.01	0.0001	10	0.15	4925926.8	148148.4
0.01	0.0001	10	0.2	4230295.8	239277.756888015
0.01	0.0001	10	0.25	3520963.8	662463.988138042
0.01	0.0001	10	0.3	2453487.6	481311.984013945
0.01	0.0001	10	0.35	2287122	436103.903329929
0.01	0.0001	10	0.4	2517554.4	766477.054204912
0.01	0.0001	10	0.45	1741567.6	309577.422511139
0.01	0.0001	10	0.5	1540661.8	529032.151437094
0.01	0.0001	10	0.55	1931248	518532.623689195
0.01	0.0001	10	0.6	1475977.4	531081.196645711
0.01	0.0001	10	0.65	1074829.6	557618.303224204
