s	r	d	f	mean	sd
0.01	0.0001	5	1.25	5.4148	1.23859184560532
0.01	0.0001	5	1.3	5.6768	1.50209538978056
0.01	0.0001	5	1.35	4.886	1.16069841044089
0.01	0.0001	5	1.4	4.8868	2.21309000268855
0.01	0.0001	5	1.45	4.8564	1.7220176073432
0.01	0.0001	5	1.5	4.0788	0.89232603906868
0.01	0.0001	6	0.1	2.9752	0.547735118465121
0.01	0.0001	6	0.15	5.1552	1.9596295976536
0.01	0.0001	6	0.2	6.6512	3.21417002661651
0.01	0.0001	6	0.25	13.2316	3.56446874583016
0.01	0.0001	6	0.3	16.5936	1.58416180991716
0.01	0.0001	6	0.35	12.1456	1.78108658969742
0.01	0.0001	6	0.4	12.1	1.66067697039491
0.01	0.0001	6	0.45	9.806	2.65335772183096
0.01	0.0001	6	0.5	10.372	0.542870887044056
0.01	0.0001	6	0.55	8.6588	0.457139978562366
0.01	0.0001	6	0.6	10.6724	2.13665473111591
0.01	0.0001	6	0.65	10.7236	1.71720302818275
0.01	0.0001	6	0.7	8.1124	1.76757071711431
0.01	0.0001	6	0.75	8.3612	2.71919417475104
0.01	0.0001	6	0.8	8.4088	1.58845464524487
0.01	0.0001	6	0.85	7.7556	1.60357969555616
0.01	0.0001	6	0.9	6.2516	0.633782801912453
0.01	0.0001	6	0.95	7.5376	2.09375429312993
0.01	0.0001	6	1	5.1088	0.655410222684999
0.01	0.0001	6	1.05	5.6816	1.2958817229979
0.01	0.0001	6	1.1	5.278	0.955689489321715
0.01	0.0001	6	1.15	5.3844	1.1947132877808
0.01	0.0001	6	1.2	4.4824	0.232586843995958
0.01	0.0001	6	1.25	4.3176	1.6127647813615
0.01	0.0001	6	1.3	4.8708	0.975617630017006
0.01	0.0001	6	1.35	5.0616	0.896692054163524
0.01	0.0001	6	1.4	5.0592	1.4281174181418
0.01	0.0001	6	1.45	4.934	1.55363779562677
0.01	0.0001	6	1.5	4.6528	2.23756782243578
0.01	0.0001	7	0.1	2.9744	0.276270591992706
0.01	0.0001	7	0.15	5.9648	3.89741608761497
0.01	0.0001	7	0.2	8.4496	4.78830715806745
0.01	0.0001	7	0.25	14.4712	5.72870018066926
0.01	0.0001	7	0.3	11.072	2.11459650997537
0.01	0.0001	7	0.35	12.5796	1.68589698380417
0.01	0.0001	7	0.4	14.3544	2.23762781534374
0.01	0.0001	7	0.45	11.8824	2.08162067630008
0.01	0.0001	7	0.5	11.1324	1.88783872192515
0.01	0.0001	7	0.55	9.7044	2.07552032994139
0.01	0.0001	7	0.6	7.9524	1.23421320686501
0.01	0.0001	7	0.65	9.8528	0.910125793503294
0.01	0.0001	7	0.7	8.2428	1.38870160941795
0.01	0.0001	7	0.75	6.6536	1.36095695743841
0.01	0.0001	7	0.8	9.632	1.53180938761975
0.01	0.0001	7	0.85	6.8008	0.753823958228975
0.01	0.0001	7	0.9	5.7424	1.06481427488553
0.01	0.0001	7	0.95	6.0984	1.11801638628421
0.01	0.0001	7	1	6.854	1.3125279425597
0.01	0.0001	7	1.05	5.248	0.751102656099684
0.01	0.0001	7	1.1	5.9076	1.6913792714823
0.01	0.0001	7	1.15	4.78	1.11461060465079
0.01	0.0001	7	1.2	5.5228	1.39047594729287
0.01	0.0001	7	1.25	4.7584	1.36399554251471
0.01	0.0001	7	1.3	3.8844	0.420337768943025
0.01	0.0001	7	1.35	4.6864	1.22817549234627
0.01	0.0001	7	1.4	4.504	1.04110940827561
0.01	0.0001	7	1.45	4.2968	1.19519812583521
0.01	0.0001	7	1.5	4.4668	1.01024321824004
0.01	0.0001	8	0.1	2.8696	0.334155412944336
0.01	0.0001	8	0.15	3.7844	0.48632729719809
0.01	0.0001	8	0.2	14.6148	3.89319891092146
0.01	0.0001	8	0.25	17.592	1.79471802799214
0.01	0.0001	8	0.3	13.5632	1.74916830522394
0.01	0.0001	8	0.35	12.6336	2.33561894152278
0.01	0.0001	8	0.4	12.9928	2.14593032505718
0.01	0.0001	8	0.45	9.94	1.39921921084582
0.01	0.0001	8	0.5	11.1704	1.82025158700659
0.01	0.0001	8	0.55	11.0144	2.24850898152531
0.01	0.0001	8	0.6	9.6648	1.18074864386964
0.01	0.0001	8	0.65	8.1488	2.6207396207941
0.01	0.0001	8	0.7	9.2648	2.07390746177355
0.01	0.0001	8	0.75	6.7396	0.978738289840548
0.01	0.0001	8	0.8	7.7096	0.526957151958297
0.01	0.0001	8	0.85	7.65	2.0086273920267
0.01	0.0001	8	0.9	7.4252	2.1913585192752
0.01	0.0001	8	0.95	6.7116	2.82625473728042
0.01	0.0001	8	1	4.862	0.753291444263109
0.01	0.0001	8	1.05	5.9164	1.02144947990588
0.01	0.0001	8	1.1	5.0008	1.09702477638383
0.01	0.0001	8	1.15	6.3428	2.75359099359364
0.01	0.0001	8	1.2	4.284	0.523833561353222
0.01	0.0001	8	1.25	4.4796	0.883945156669802
0.01	0.0001	8	1.3	4.52	1.35540872064481
0.01	0.0001	8	1.35	4.1092	0.876763685379361
0.01	0.0001	8	1.4	3.8696	0.741300910561966
0.01	0.0001	8	1.45	3.6644	0.802381854231513
0.01	0.0001	8	1.5	4.828	0.795820080168879
0.01	0.0001	9	0.1	3.2468	0.269309041808848
0.01	0.0001	9	0.15	9.6304	5.0429802934376
0.01	0.0001	9	0.2	13.0304	7.80239475033146
0.01	0.0001	9	0.25	15.9472	1.58103743156195
0.01	0.0001	9	0.3	14.4496	1.6380849306431
0.01	0.0001	9	0.35	13.5684	2.93319331787047
0.01	0.0001	9	0.4	10.7596	0.952241481978179
0.01	0.0001	9	0.45	10.5468	1.3776644584223
0.01	0.0001	9	0.5	10.8104	1.5860841843988
0.01	0.0001	9	0.55	9.0496	1.96746716363959
0.01	0.0001	9	0.6	8.4052	1.8515319494948
0.01	0.0001	9	0.65	9.0624	1.53797133913477
0.01	0.0001	9	0.7	9.6344	1.73607990599511
0.01	0.0001	9	0.75	7.4796	1.3307335721323
0.01	0.0001	9	0.8	6.5544	1.40577175956839
0.01	0.0001	9	0.85	6.9224	2.01161006161731
0.01	0.0001	9	0.9	5.8496	1.09206695765415
0.01	0.0001	9	0.95	7.3796	1.64580309879402
0.01	0.0001	9	1	5.3545	0.857473468977321
0.01	0.0001	9	1.05	5.3276	1.00379950189268
0.01	0.0001	9	1.1	5.9072	1.346661412531
0.01	0.0001	9	1.15	5.5596	0.938086051489948
0.01	0.0001	9	1.2	4.6652	0.408424485064253
0.01	0.0001	9	1.25	3.886	0.283196045170126
0.01	0.0001	9	1.3	4.2268	1.1991567704016
0.01	0.0001	9	1.35	4.482	1.03188526493986
0.01	0.0001	9	1.4	3.8644	0.752787247500912
0.01	0.0001	9	1.45	3.9244	0.727702576606679
0.01	0.0001	9	1.5	6.0708	1.08965065961527
0.01	0.0001	10	0.1	3.818	0.909515915198849
0.01	0.0001	10	0.15	7.09	6.19274750010042
0.01	0.0001	10	0.2	20.5932	1.13119094762998
0.01	0.0001	10	0.25	14.7596	2.07822285619228
0.01	0.0001	10	0.3	13.8936	2.55734155716439
0.01	0.0001	10	0.35	14.1348	2.313625587687
0.01	0.0001	10	0.4	12.3152	0.535315383675829
0.01	0.0001	10	0.45	10.4116	1.10536538755291
0.01	0.0001	10	0.5	11.466	1.85460378517893
0.01	0.0001	10	0.55	10.5224	2.04309310605268
0.01	0.0001	10	0.6	10.6372	0.976824733511596
0.01	0.0001	10	0.65	7.8208	1.32056387956055
0.01	0.0001	10	0.7	7.736	0.372225737960179
0.01	0.0001	10	0.75	7.5696	1.02276441080045
0.01	0.0001	10	0.8	7.06	0.905756700223631
0.01	0.0001	10	0.85	6.5884	1.35077779075613
0.01	0.0001	10	0.9	6.788	1.35463234864667
0.01	0.0001	10	0.95	5.9232	1.29065230019553
0.01	0.0001	10	1	5.3388	1.1686112099411
0.01	0.0001	10	1.05	5.4996	0.777404296360652
0.01	0.0001	10	1.1	6.012	0.912979298779551
0.01	0.0001	10	1.15	4.9172	1.16942351609671
0.01	0.0001	10	1.2	4.7175	1.18358977268309
0.01	0.0001	10	1.25	4.592	0.970156276071026
0.01	0.0001	10	1.3	4.338	0.522423582928642
0.01	0.0001	10	1.35	4.4724	0.500130223041959
0.01	0.0001	10	1.4	4.2856	0.9852686131203
0.01	0.0001	10	1.45	4.0604	1.55972992533964
0.01	0.0001	10	1.5	4.0536	0.870851904746152
0.01	0.001	1	0.1	21.354	1.13791880202412
0.01	0.001	1	0.15	23.054	2.00740987344389
0.01	0.001	1	0.2	24.0896	1.23797020965773
0.01	0.001	1	0.25	26.0144	0.696424468266301
0.01	0.001	1	0.3	29.782	1.37287260880243
0.01	0.001	1	0.35	31.0972	2.75025049040992
0.01	0.001	1	0.4	31.9332	1.00678625338251
0.01	0.001	1	0.45	33.8735	1.61551191577159
0.01	0.001	1	0.5	na	na
0.01	0.001	1	0.55	na	na
0.01	0.001	1	0.6	na	na
0.01	0.001	1	0.65	38.028	0.663362344424223
0.01	0.001	1	0.7	39.092	0.519219414120851
0.01	0.001	1	0.75	38.33	1.20628421195007
0.01	0.001	1	0.8	38.2544	1.45991802509593
0.01	0.001	1	0.85	38.3508	0.388767488352614
0.01	0.001	1	0.9	38.2232	0.819192382777087
0.01	0.001	1	0.95	39.1832	1.03348699072606
0.01	0.001	1	1	38.8732	0.440393642097613
0.01	0.001	1	1.05	38.8896	1.11195208529864
0.01	0.001	1	1.1	38.5908	1.87638656997965
0.01	0.001	1	1.15	38.6828	0.654858274743475
0.01	0.001	1	1.2	37.3312	1.39196183855737
0.01	0.001	1	1.25	39.2144	2.49901465381858
0.01	0.001	1	1.3	37.596	1.03322408024591
0.01	0.001	1	1.35	39.9668	0.494456631060804
0.01	0.001	1	1.4	38.8208	0.898319853949584
0.01	0.001	1	1.45	39.2296	2.01415447272547
0.01	0.001	1	1.5	39.4848	1.63126434399824
0.01	0.001	2	0.1	24.366	0.53297354530971
0.01	0.001	2	0.15	26.3036	1.7022833606659
0.01	0.001	2	0.2	31.4324	0.903356762303798
0.01	0.001	2	0.25	36.2216	0.483248010859847
0.01	0.001	2	0.3	38.632	0.368204291121111
0.01	0.001	2	0.35	39.3036	0.995729601849819
0.01	0.001	2	0.4	39.5268	1.45965563061977
0.01	0.001	2	0.45	39.2596	1.35414587101981
0.01	0.001	2	0.5	39.686	0.522337821720771
0.01	0.001	2	0.55	39.6312	0.504912824158784
0.01	0.001	2	0.6	39.7812	1.24248241838667
0.01	0.001	2	0.65	39.9676	1.22716675313504
0.01	0.001	2	0.7	39.3708	1.18726549684559
0.01	0.001	2	0.75	40.0552	1.84796995646575
0.01	0.001	2	0.8	38.9268	1.86228444658704
0.01	0.001	2	0.85	40.3572	1.63661826948131
0.01	0.001	2	0.9	39.9788	1.23056448835484
0.01	0.001	2	0.95	38.9896	1.69512685071059
0.01	0.001	2	1	37.5424	1.35028020795685
0.01	0.001	2	1.05	15.5496	2.58842080041094
0.01	0.001	2	1.1	15.7524	4.155336886463
0.01	0.001	2	1.15	13.854	3.29570120004833
0.01	0.001	2	1.2	10.4976	3.49943958942
0.01	0.001	2	1.25	14.6376	3.94217775347586
0.01	0.001	2	1.3	14.4672	4.37095570327589
0.01	0.001	2	1.35	10.4868	3.75126999294905
0.01	0.001	2	1.4	18.5188	3.9057589480151
0.01	0.001	2	1.45	11.626	7.2407018444347
0.01	0.001	2	1.5	13.1916	2.08155918484198
0.01	0.001	3	0.1	25.7744	0.694470042550432
0.01	0.001	3	0.15	32.3576	2.17829268924082
0.01	0.001	3	0.2	38.9735	0.898272091295283
0.01	0.001	3	0.25	40.3492	0.929711869344476
0.01	0.001	3	0.3	39.9804	0.838595397077757
0.01	0.001	3	0.35	39.706	1.29528498794667
0.01	0.001	3	0.4	40.8012	0.954976523271644
0.01	0.001	3	0.45	40.918	1.35538629180024
0.01	0.001	3	0.5	41.9604	1.76594921784291
0.01	0.001	3	0.55	40.7972	0.776452033289887
0.01	0.001	3	0.6	41.8168	1.72535798024642
0.01	0.001	3	0.65	39.1516	1.39095213433101
0.01	0.001	3	0.7	18.4536	5.96015763549925
0.01	0.001	3	0.75	17.4152	4.29859392825142
0.01	0.001	3	0.8	15.8304	3.62828254688082
0.01	0.001	3	0.85	13.0684	3.84827346221653
0.01	0.001	3	0.9	16.6516	4.92028363410078
0.01	0.001	3	0.95	12.6288	2.77276485840397
0.01	0.001	3	1	10.0608	2.99083576279274
0.01	0.001	3	1.05	13.8556	5.4757062594701
0.01	0.001	3	1.1	11.5848	3.99272410266475
0.01	0.001	3	1.15	13.1716	4.21287690776742
0.01	0.001	3	1.2	11.4516	3.82232544925206
0.01	0.001	3	1.25	13.6576	5.20789744906714
0.01	0.001	3	1.3	10.4108	3.87075736258423
0.01	0.001	3	1.35	11.8572	4.97541678254194
0.01	0.001	3	1.4	13.944	1.2335457835038
0.01	0.001	3	1.45	12.6948	4.96128154411741
0.01	0.001	3	1.5	9.0808	2.47118387822517
0.01	0.001	4	0.1	27.8456	1.33445923129933
0.01	0.001	4	0.15	35.1796	2.95034300378786
0.01	0.001	4	0.2	40.318	1.01862888237081
0.01	0.001	4	0.25	41.096	0.973763831737449
0.01	0.001	4	0.3	41.1932	0.36667064240269
0.01	0.001	4	0.35	40.9376	1.18736104029061
0.01	0.001	4	0.4	41.906	1.21966552792149
0.01	0.001	4	0.45	41.6088	0.415169555723923
0.01	0.001	4	0.5	39.6636	0.60629682499581
0.01	0.001	4	0.55	21.7408	4.17282419471513
0.01	0.001	4	0.6	21.4516	7.41329631405625
0.01	0.001	4	0.65	15.1512	5.98520330147607
0.01	0.001	4	0.7	18.0112	5.68864646115401
0.01	0.001	4	0.75	16.8716	4.40684220729538
0.01	0.001	4	0.8	14.51	2.45798193646739
0.01	0.001	4	0.85	12.4716	3.253261354395
0.01	0.001	4	0.9	12.612	4.1668100028679
0.01	0.001	4	0.95	13.2468	3.26434816770515
0.01	0.001	4	1	11.2248	2.55908971315974
0.01	0.001	4	1.05	10.4932	4.68934018386382
0.01	0.001	4	1.1	10.0464	3.33627346600964
0.01	0.001	4	1.15	8.8504	1.58236653149642
0.01	0.001	4	1.2	7.5432	1.60537028750379
0.01	0.001	4	1.25	11.07	2.48016934905663
0.01	0.001	4	1.3	15.0288	4.92981486062104
0.01	0.001	4	1.35	8.4816	1.87563680919308
0.01	0.001	4	1.4	6.53	0.920521591273122
0.01	0.001	4	1.45	9.3048	3.5911971485843
0.01	0.001	4	1.5	9.8652	4.05458488134112
0.01	0.001	5	0.1	32.5344	1.87094474530917
0.01	0.001	5	0.15	40.0324	0.402403578512916
0.01	0.001	5	0.2	41.798	1.30431836604412
0.01	0.001	5	0.25	41.1416	0.650712102238771
0.01	0.001	5	0.3	41.3692	1.77913983711231
0.01	0.001	5	0.35	42.228	1.75350209580713
0.01	0.001	5	0.4	39.3112	1.59717079863113
0.01	0.001	5	0.45	19.9088	5.36415892382021
0.01	0.001	5	0.5	23.561	2.17128418222949
0.01	0.001	5	0.55	18.1344	5.13456201053215
0.01	0.001	5	0.6	20.27	5.71733336442786
0.01	0.001	5	0.65	19.312	1.96431565691464
0.01	0.001	5	0.7	14.926	5.12547238798533
0.01	0.001	5	0.75	19.458	4.86653503018318
0.01	0.001	5	0.8	12.4768	2.61507127245129
0.01	0.001	5	0.85	12.0356	2.50737867901919
0.01	0.001	5	0.9	13.4308	4.0623935013733
0.01	0.001	5	0.95	13.1436	3.08442368036559
0.01	0.001	5	1	13.9112	3.56041718903839
0.01	0.001	5	1.05	12.9212	5.66541134958442
0.01	0.001	5	1.1	10.5344	2.29775521759825
0.01	0.001	5	1.15	10.4824	2.58008043285476
0.01	0.001	5	1.2	14.4216	4.79173111098693
0.01	0.001	5	1.25	9.3868	2.81787113970813
0.01	0.001	5	1.3	9.0592	2.07223844187873
0.01	0.001	5	1.35	6.714	2.53942324160428
0.01	0.001	5	1.4	7.1596	1.39515756816211
0.01	0.001	5	1.45	7.39	1.97956075936052
0.01	0.001	5	1.5	7.668	2.21921535683223
0.01	0.001	6	0.1	36.578	1.53195757121403
0.01	0.001	6	0.15	40.8132	0.847006587931878
0.01	0.001	6	0.2	41.9292	0.959386970935086
0.01	0.001	6	0.25	41.9224	0.888266986890767
0.01	0.001	6	0.3	41.4912	1.44398038767845
0.01	0.001	6	0.35	28.0076	1.47133865578255
0.01	0.001	6	0.4	21.47	3.35135841115211
0.01	0.001	6	0.45	21.612	3.17151597820348
0.01	0.001	6	0.5	21.412	3.75436812260066
0.01	0.001	6	0.55	21.2228	2.88906977416607
0.01	0.001	6	0.6	15.9204	2.53682869740943
0.01	0.001	6	0.65	14.2948	1.74907408648119
0.01	0.001	6	0.7	15.4876	2.65619860703224
0.01	0.001	6	0.75	12.8776	2.17806791445997
0.01	0.001	6	0.8	15.3304	4.19546200554838
0.01	0.001	6	0.85	13.2228	3.02874801857137
